crop_id,scientific_name,soil_ph_absolute_max,soil_ph_absolute_min,soil_ph_optimal_max,soil_ph_optimal_max,rainfall_annual_optimal_max
1630,Paspalum scrobiculatum,8.0,4.3,6.0,6.0,1600.0
1634,Passiflora edulis var. flavicarpa,8.0,5.0,7.5,7.5,2000.0
1637,Passiflora laurifolia,7.0,5.0,6.5,6.5,3000.0
1638,Passiflora mollissima,8.0,4.3,7.0,7.0,1700.0
1639,Passiflora quadrangularis,8.0,4.3,7.5,7.5,1600.0
1642,Pastinaca sativa,8.3,5.8,6.8,6.8,800.0
1659,Persea americana,7.0,4.5,5.8,5.8,2000.0
1665,Phaseolus coccineus,8.2,5.0,7.0,7.0,1500.0
1666,Phaseolus lunatus,8.4,4.5,7.0,7.0,1500.0
1668,Phaseolus vulgaris,9.0,4.0,7.5,7.5,2000.0
1673,Phoenix dactylifera,8.5,6.0,8.0,8.0,300.0
1686,Physalis peruviana,8.2,4.3,7.0,7.0,2300.0
1689,Pimenta dioica,8.0,6.3,7.5,7.5,2500.0
1721,Pisum sativum,8.3,4.5,7.0,7.0,1200.0
1784,Portulaca oleracea,8.3,4.3,7.0,7.0,2000.0
1793,Prosopis alba,7.0,4.5,6.5,6.5,500.0
1796,Prunus persica,7.5,4.5,6.3,6.3,1100.0
1803,Psidium cattleianum,7.7,4.5,6.5,6.5,2000.0
1804,Psidium guajava,8.5,4.0,7.5,7.5,3000.0
1807,Psophocarpus tetragonolobus,8.5,4.3,7.0,7.0,2500.0
1817,Pterocarpus indicus,7.5,5.0,6.5,6.5,3000.0
1822,Pueraria lobata,7.1,5.0,6.5,6.5,1400.0
1824,Pueraria phaseoloides,8.0,3.5,6.5,6.5,3200.0
1829,Punica granatum,8.5,5.8,7.5,7.5,1200.0
1832,Pyrus communis,8.3,4.5,6.5,6.5,900.0
1839,Raphanus sativus,8.3,4.3,7.0,7.0,1500.0
1877,Rubus idaeus ssp. idaeus,7.8,4.5,6.5,6.5,1200.0
1881,Rubus sp.,8.0,4.5,6.5,6.5,1800.0
1883,Saccharum edule,6.5,4.5,6.0,6.0,3000.0
1884,Saccharum officinarum,9.0,4.5,8.0,8.0,2000.0
1885,Saccharum robustum,7.5,4.5,6.0,6.0,2500.0
1887,Saccharum spontaneum,7.5,4.5,6.0,6.0,3000.0
1894,Samanea saman,7.5,4.5,6.5,6.5,3000.0
1929,Secale cereale,8.2,4.5,6.0,6.0,1000.0
1930,Sechium edule,8.0,4.3,7.0,7.0,2000.0
1937,Sesamum indicum,8.0,4.5,7.5,7.5,1000.0
1938,Sesbania grandiflora,8.5,4.5,7.5,7.5,3000.0
1965,Solanum melongena,8.5,4.3,6.8,6.8,1600.0
1966,Solanum nigrum,8.5,4.3,7.5,7.5,1600.0
1968,Solanum quitoense,8.0,5.8,7.0,7.0,3000.0
1970,Solanum torvum,6.8,4.3,6.0,6.0,2000.0
1971,Solanum tuberosum,8.5,4.2,6.2,6.2,800.0
1978,Sonneratia caseolaris,7.5,6.5,7.3,7.3,2500.0
1982,Sorghum bicolor var. sweet,8.5,5.0,7.0,7.0,1000.0
1991,Spathodea campanulata,8.0,4.5,7.5,7.5,2000.0
1997,Spinacia oleracea,8.3,5.3,7.5,7.5,1200.0
2000,Spondias cytherea,8.0,4.5,6.5,6.5,1800.0
2002,Spondias mombin,8.0,4.3,6.5,6.5,2000.0
2047,Tamarindus indica,8.5,4.5,6.5,6.5,3000.0
2062,Terminalia catappa,8.0,4.3,7.0,7.0,3400.0
2074,Theobroma cacao,8.0,4.0,6.5,6.5,3000.0
2075,Thespesia populnea,8.5,6.0,8.0,8.0,3000.0
2095,Trema orientalis,7.5,4.5,6.5,6.5,3000.0
2099,Mentha piperita,8.3,4.5,6.5,6.5,2200.0
2100,Trichosanthes cucumerina,8.0,6.0,7.0,7.0,2500.0
2114,Triticum aestivum,8.5,5.5,7.0,7.0,900.0
2120,Ullucus tuberosus,7.0,5.0,6.5,6.5,1400.0
2146,Vicia faba,8.6,4.5,7.0,7.0,1000.0
2147,Vigna angularis,7.5,5.0,6.5,6.5,1300.0
2149,Vigna mungo,7.5,4.5,6.5,6.5,900.0
2150,Vigna radiata,8.3,4.3,6.2,6.2,900.0
2152,Vigna umbellata,8.0,5.5,7.5,7.5,1500.0
2153,Vigna unguiculata,8.8,4.0,7.5,7.5,1500.0
2160,Vitis vinifera,8.5,4.5,7.5,7.5,850.0
2168,Xanthosoma sagittifolium,7.8,4.5,7.0,7.0,2000.0
