crop_id,companion_species,crop_cycle_max,crop_cycle_min,cropping_system,labour_intensity,level_of_mechanization,product_system,subsystem
7434,"oat, other cereals, forage legumes",180.0,100.0,permanent rainfed,,,,inter-cropping
7435,"potato, cereals",330.0,150.0,permanent rainfed,,,,ratoon cropping
7444,,365.0,60.0,,,,,
7557,,0.0,0.0,,,,,
7605,,365.0,180.0,perennial crops,,,small scale (manual),
7618,,240.0,180.0,,,,,
7637,,300.0,270.0,arable irrigated,,,large scale/commercial,ley cropping
7639,,365.0,365.0,,,,,
7695,,365.0,300.0,,,,,
7710,,270.0,40.0,,,,,
7721,,0.0,0.0,,,,,
7735,,0.0,0.0,,,,,
7736,,365.0,300.0,,,,,
7769,,300.0,270.0,,,,,
7795,,70.0,50.0,,,,,
7797,,240.0,60.0,,,,,
7813,,365.0,365.0,,,,,
7829,,270.0,240.0,,,,,
7832,,270.0,90.0,,,,,
7848,,365.0,180.0,,,,,
7849,,365.0,180.0,,,,,
7852,,365.0,180.0,,,,,
7856,,365.0,365.0,,,,,
7859,,0.0,0.0,,,,,
7874,,300.0,150.0,perennial crops,,,,
7944,,210.0,150.0,,,,,
7964,,180.0,120.0,,,,,
8001,,0.0,0.0,,,,,
8002,,0.0,0.0,,,,,
8005,,0.0,0.0,,,,small scale (manual),
8039,,365.0,300.0,,,,,
8058,,270.0,120.0,,,,,
8076,,365.0,365.0,,,,,
8094,,270.0,140.0,,,,,
8108,,330.0,300.0,,,,,
8138,,270.0,120.0,,,,,
8143,,200.0,80.0,,,,,
8144,,240.0,120.0,,,,,
8207,,0.0,0.0,,,,,
8245,,365.0,365.0,,,,,
8280,,280.0,55.0,permanent rainfed,,,"small scale (manual), intermediate (animal drawn), large scale/commercial",sole cropping
8281,,330.0,270.0,,,,,
8286,,150.0,75.0,permanent rainfed,,,,
8295,,0.0,0.0,,,,,
8296,,210.0,135.0,permanent rainfed,,,"home garden, large scale/commercial",ley cropping
8309,,365.0,365.0,,,,,
8323,"maize, cassava, yams, sorghum, millet",365.0,180.0,perennial crops,,,small scale (manual),inter-planting
8328,,365.0,365.0,,,,,
8368,,330.0,120.0,,,,,
8370,,0.0,0.0,,,,,
