scientific_name,crop_id
Hymenaea courbaril,6809
Hyphaene thebaica,6837
Inga feuillei,6893
Inga vera,6896
Inula helenium,6901
Iris pseudacorus,6955
Irvingia gabonensis,6958
Jessenia bataua,7000
Juglans hindsii,7010
Juglans nigra,7013
Juglans sieboldiana,7014
Juniperus communis,7022
Kerstingiella geocarpa,7056
Lactuca indica,7081
Lamium album,7103
Lathyrus sativus,7164
Lemuropisum edule,7208
Lens culinaris,7209
Lepidium meyenii,7220
Lepidium sativum,7227
Levisticum officinale,7277
Linaria vulgaris,7330
Livistona australis,7364
Lotus edulis,7412
Lupinus albus,7431
Lupinus luteus,7434
Lupinus mutabilis,7435
Lycium chinense,7444
Malva moschata,7557
Manilkara zapota,7605
Marrubium vulgare,7618
Matricaria recutita,7637
Mauritia flexuosa,7639
Melocanna baccifera,7695
Mentha spicata var. crispa,7710
Menyanthes trifoliata,7721
Mespilus germanica,7735
Mesua ferrea,7736
Miliusa velutina,7769
Momordica charantia,7795
Momordica cochinchinensis,7797
Monstera deliciosa,7813
Morus rubra,7829
Mucuna pruriens,7832
Musa acuminata,7848
Musa acuminata x balbisiana,7849
Musa halabanensis,7852
Musa salaccensis,7856
Muscari comosum,7859
Myrciaria cauliflora,7874
Nepeta cataria,7944
Neptunia prostrata,7964
Nuphar advena,8001
Nuphar lutea,8002
Nymphaea alba,8005
Octomeles sumatrana,8039
Olea africana,8058
Oncosperma tigillarium,8076
Opuntia ficus-indica,8094
Orbignya cohume,8108
Oryza glaberrima,8138
Oryza sativa ssp. indica,8143
Oryza sativa ssp. javanica,8144
Pachystela msolo,8207
Pandanus julianettii,8245
Panicum miliaceum,8280
Panicum obtusum,8281
Panicum sumatrense,8286
Papaver rhoeas,8295
Papaver somniferum,8296
Parinari curatellifolia,8309
Parkia biglobosa,8323
Parkia speciosa,8328
Passiflora edulis var. edulis,8368
Passiflora incarnata,8370
Paullinia cupana,8386
Peltandra virginica,8409
Pennisetum glaucum,8418
Pentaclethra macrophylla,8432
Persoonia falcata,8466
Phalaris arundinacea,8488
Phoenix reclinata,8524
Phoenix sylvestris,8526
Phragmites australis,8532
Emblica officinalis,8537
Physalis alkekengi,8552
Physalis philadelphica,8556
Phytolacca acinosa,8565
Phytolacca americana,8566
Pinus gerardiana,8632
Pinus pinea,8647
Pithecellobium dulce,8700
Plectranthus esculentus,8753
Podocarpus elatus,8785
Polygonum bistorta,8821
Polymnia sonchifolia,8852
Portulaca quadrifida L.,8882
Pouteria lucuma,8912
Pouteria sapota,8917
Prosopis chilensis,8946
Prosopis juliflora,8951
Prosopis pallida,8953
Prosopis tamarugo,8958
Prunus avium,8965
Prunus capuli,8967
Prunus cerasus,8970
Prunus mume,8983
Prunus salicina,8992
Prunus spinosa,8995
Psidium friedrichsthalianum,9018
Pterocarpus dalbergioides,9042
Pterocarpus lucens,9044
Pulmonaria officinalis,9068
Pyrus pyrifolia,9086
Quercus agrifolia,9096
Quercus alba,9097
Quercus robur,9138
Raphanus caudatus,9168
Rhamnus prinoides,9213
Rheum palmatum,9228
Ribes hirtellum,9279
Ribes nigrum,9282
Ribes rubrum,9285
Ribes sativum,9287
Ribes uva-crispa,9290
Ricinodendron heudelotii,9291
Ricinodendron rautanenii,9292
Rosa canina,9312
Rubus fruticosus,9359
Rubus occidentalis,9373
Rubus occidentalis x idaeus,9374
Ruscus aculeatus,9419
Saccharum barberi,9432
Saccharum sinense,9434
